#{"t_start": 1606164716.281729, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,282.846564
-200.0,200,283.15807
-200.0,200,283.468385
-200.0,200,283.522124
-200.0,200,283.840054
-200.0,200,284.158003
-140.0,140,284.191117
-200.0,200,284.503674
-200.0,200,284.826932
-200.0,200,285.138529
-200.0,200,285.442885
-200.0,200,285.492028
-200.0,200,285.807689
-200.0,200,286.131705
-200.0,200,286.442384
-200.0,200,286.492408
-200.0,200,286.809373
-200.0,200,287.117777
-200.0,200,287.429807
-200.0,200,287.767027
-200.0,200,287.813208
-161.0,161,288.113963
-200.0,200,288.422483
-200.0,200,288.746311
-200.0,200,288.793152
-102.0,102,289.076095
-200.0,200,289.383741
-200.0,200,289.432543
-200.0,200,289.749309
-200.0,200,290.066968
-200.0,200,290.374802
-200.0,200,290.423839
-200.0,200,290.733724
-200.0,200,291.044642
-200.0,200,291.358055
-200.0,200,291.662915
-200.0,200,291.711146
-169.0,169,292.014479
-200.0,200,292.325709
-200.0,200,292.641211
-200.0,200,292.68563
-200.0,200,292.976718
-178.0,178,293.260897
-139.0,139,293.293562
-200.0,200,293.580435
-200.0,200,293.87488
-200.0,200,294.161874
-200.0,200,294.441789
-200.0,200,294.487315
-200.0,200,294.790677
-200.0,200,295.074138
-200.0,200,295.438483
-200.0,200,295.490457
-151.0,151,295.792479
-200.0,200,296.079315
-200.0,200,296.391922
-200.0,200,296.447907
-200.0,200,296.814229
-200.0,200,297.161437
-200.0,200,297.45697
-200.0,200,297.505627
-200.0,200,297.795164
-200.0,200,298.076043
-197.0,197,298.376008
-200.0,200,298.686261
-200.0,200,298.734678
-200.0,200,299.024176
-200.0,200,299.307686
-120.0,120,299.335015
-200.0,200,299.614915
-200.0,200,299.907057
-200.0,200,300.192308
-200.0,200,300.47148
-200.0,200,300.511676
-127.0,127,300.809553
-200.0,200,301.136601
-200.0,200,301.180057
-145.0,145,301.46095
-173.0,173,301.773634
-200.0,200,301.823301
-200.0,200,302.139243
-200.0,200,302.462008
-132.0,132,302.49231
-200.0,200,302.815979
-131.0,131,303.110063
-156.0,156,303.145779
-116.0,116,303.434129
-200.0,200,303.766213
-200.0,200,303.814991
-200.0,200,304.131479
-200.0,200,304.440127
-200.0,200,304.763838
-145.0,145,304.802996
-200.0,200,305.114291
-200.0,200,305.422287
-200.0,200,305.737974
-200.0,200,305.785075
