#{"t_start": 1606393646.0302458, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-147.400642,404,5577.791384
-76.176392,1000,5592.941589
-102.309593,1000,5596.841958
-109.287984,1000,5612.924087
-113.473431,1000,5616.897443
-101.08361,1000,5633.233323
-72.958375,1000,5635.644199
-74.498171,1000,5652.640362
-113.828315,1000,5654.501753
-89.222855,1000,5670.214397
-164.365076,476,5670.9867
-137.625568,293,5671.412142
-156.15691,624,5672.308431
-135.041536,1000,5688.774586
-97.83818,1000,5691.465646
-92.122839,1000,5706.90545
-233.832258,839,5709.410682
-68.948822,1000,5726.154765
-122.570952,223,5726.42946
-53.046257,1000,5731.739017
-100.983984,1000,5751.933188
-92.071118,1000,5755.921117
-127.488238,260,5756.331508
-74.429221,1000,5774.018676
-72.092449,1000,5780.596396
-138.401513,1000,5798.477519
-116.862932,1000,5803.473863
-122.549637,1000,5822.580334
-99.415646,1000,5824.408447
-135.755099,440,5825.091079
-123.346631,1000,5841.186131
-128.056856,338,5841.683353
-129.003316,1000,5858.057175
-110.246509,1000,5862.453728
-98.297968,1000,5877.674955
-124.887283,1000,5879.541124
-88.074211,1000,5896.282779
-135.738437,312,5896.677433
-200.361737,875,5899.030563
-141.744601,590,5900.017253
-135.869118,546,5914.235251
-216.993764,846,5915.977678
-79.538771,1000,5933.286942
-130.222299,424,5933.913628
-77.833965,1000,5938.294283
-160.715424,471,5939.191073
-186.465492,670,5952.946506
-208.198642,771,5954.555721
-73.030818,1000,5971.547037
-116.917595,1000,5976.31953
-231.591048,88,5976.427495
-122.135587,1000,5994.486331
-113.017454,1000,5997.697298
-251.80218,860,6014.715736
-95.203235,1000,6020.105113
-141.40788,589,6021.939528
-118.322688,1000,6039.260705
-155.233766,545,6040.165592
-112.754696,1000,6056.499418
-193.80362,597,6057.389217
-175.677088,674,6059.215435
-183.697481,109,6059.315166
-167.023497,670,6073.968613
-152.183704,156,6074.134156
-110.747768,1000,6077.940375
-128.759833,291,6078.409929
-111.525229,1000,6096.979674
-69.6167,1000,6102.618679
-107.343097,1000,6118.963461
-76.787933,1000,6124.703404
-69.827614,1000,6140.218409
-83.382125,1000,6144.423451
-241.041155,985,6160.034558
-129.021273,1000,6163.857972
-109.759138,1000,6180.57952
-141.256987,1000,6184.077217
-97.570307,1000,6203.180834
-146.752963,471,6203.986532
-92.31962,1000,6209.207109
-185.225343,910,6224.140613
-71.167503,1000,6227.569519
-108.094569,1000,6243.546658
-101.078731,1000,6247.845135
-87.190953,1000,6263.488923
-80.409566,1000,6266.197883
-125.626713,1000,6282.126106
-127.308792,512,6283.093142
-64.392559,1000,6301.985905
-119.590356,1000,6307.673568
-117.704522,1000,6324.861242
-95.175797,1000,6328.404246
-39.71055,1000,6331.402615
-93.655418,1000,6345.501707
-147.910217,1000,6349.035819
-327.966631,111,6360.585712
-263.902037,75,6360.666972
-143.854877,421,6361.304904
-94.358355,1000,6362.893055
-109.083796,1000,6379.49518
